Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
ACOS (Psychiatrist) Mental Health,Veterans Health Administration,"Augusta, Georgia",VM,165000,336000,0602,2025-12-05,2026-09-30,https://www.usajobs.gov:443/job/851647900
Advanced Diagnostic Radiologic Technologist (MRI/CT/X-Ray),Veterans Health Administration,"Fredericksburg, Virginia",GS,101894,132457,0647,2025-10-22,2026-09-30,https://www.usajobs.gov:443/job/848616300
Advanced Diagnostic Radiologic Technologist - Mammography,Veterans Health Administration,"Houston, Texas",GS,88253,114726,0647,2025-12-09,2026-09-16,https://www.usajobs.gov:443/job/851941700
Advanced Practice Nurse  - Cardiology,Veterans Health Administration,"Sioux Falls, South Dakota",VN,95056,149166,0610,2026-01-07,2026-07-13,https://www.usajobs.gov:443/job/853779900
Advanced Practice Nurse (Certified Nurse Anesthetist),Veterans Health Administration,"Atlanta, Georgia",VN,202079,292300,0610,2026-01-30,2026-09-30,https://www.usajobs.gov:443/job/856115000
Advanced Practice Nurse (Certified Registered Nurse Anesthetist),Veterans Health Administration,"Salt Lake City, Utah",VN,161086,233519,0610,2025-12-18,2026-09-30,https://www.usajobs.gov:443/job/852790500
Advanced Practice Nurse - Associate Chief of Staff Mental Health,Veterans Health Administration,"Augusta, Georgia",VN,168655,224304,0610,2025-12-05,2026-09-30,https://www.usajobs.gov:443/job/851632900
Advanced Practice Nurse-Certified Nurse Anesthetist-Recruitment/Relocation Incentive-EDRP Authorized,Veterans Health Administration,"San Antonio, Texas",VN,202693,289400,0610,2025-11-25,2026-07-23,https://www.usajobs.gov:443/job/851051700
Associate Chief of Staff (ACOS) of Research & Development,Veterans Health Administration,"Clarksburg, West Virginia",VM,240000,315000,0602,2026-01-12,2026-09-30,https://www.usajobs.gov:443/job/854213900
Boiler Plant Operator,Veterans Health Administration,"Memphis, Tennessee",WG,27.41,31.94,5402,2025-11-04,2026-09-30,https://www.usajobs.gov:443/job/849493100
Boiler Plant Operator,Veterans Health Administration,"Montgomery, Alabama",WG,25.97,30.29,5402,2025-10-28,2026-09-30,https://www.usajobs.gov:443/job/849004500
CARDIOLOGIST,Veterans Health Administration,"Columbia, Missouri",VM,320000,400000,0602,2026-02-04,2027-01-22,https://www.usajobs.gov:443/job/856515200
Certified Registered Nurse Anesthetist  (CRNA),Veterans Health Administration,"Columbia, Missouri",VN,200000,266000,0610,2025-12-04,2026-08-28,https://www.usajobs.gov:443/job/852080500
Certified Registered Nurse Anesthetist (CRNA),Veterans Health Administration,"Milwaukee, Wisconsin",AD,190128,275722,0610,2025-10-27,2026-10-26,https://www.usajobs.gov:443/job/848989800
Chief Hematology/Oncology,Veterans Health Administration,"Bronx, New York",VM,285000,315000,0602,2025-10-20,2026-10-09,https://www.usajobs.gov:443/job/848426700
Chief of Neurology,Veterans Health Administration,"Bronx, New York",VM,280000,350000,0602,2025-10-20,2026-10-19,https://www.usajobs.gov:443/job/848489500
Chief of Surgery (Podiatrist),Veterans Health Administration,"Montgomery, Alabama",VM,200000,400000,0668,2026-01-22,2026-09-30,https://www.usajobs.gov:443/job/855111800
Clinical Chaplain Pastoral Educator (CPE),Veterans Health Administration,"Aspinwall, Pennsylvania",GS,91627,119120,0060,2025-10-17,2026-09-10,https://www.usajobs.gov:443/job/848359100
Clinical Psychologist,Veterans Health Administration,"Montgomery, Alabama",GS,79901,148048,0180,2026-01-05,2026-09-30,https://www.usajobs.gov:443/job/853544300
Community Living Center- LPN,Veterans Health Administration,"Butler, Pennsylvania",GS,44649,77062,0620,2026-01-05,2026-09-25,https://www.usajobs.gov:443/job/853538100
Community Living Center- Registered Nurse,Veterans Health Administration,"Butler, Pennsylvania",VN,70530,148978,0610,2026-02-03,2026-09-25,https://www.usajobs.gov:443/job/856353400
Creative Arts Therapist (Art),Veterans Health Administration,"Memphis, Tennessee",GS,61722,97087,0638,2026-02-04,2026-09-30,https://www.usajobs.gov:443/job/856565600
Creative Arts Therapist (Music),Veterans Health Administration,"Amarillo, Texas",GS,50460,97087,0638,2026-01-05,2026-09-30,https://www.usajobs.gov:443/job/853597800
DIAGNOSTIC RADIOLOGIST,Veterans Health Administration,"Madison, Wisconsin",VN,250000,400000,0602,2025-11-06,2026-09-18,https://www.usajobs.gov:443/job/849647600
Dental Assistant,Veterans Health Administration,"Bay Pines, Florida",GS,45409,59031,0681,2026-02-03,2026-08-03,https://www.usajobs.gov:443/job/856307900
Dental Assistant,Veterans Health Administration,"Columbia, Missouri",GS,49929,64905,0681,2026-01-12,2026-07-31,https://www.usajobs.gov:443/job/854142800
Dental Assistant,Veterans Health Administration,"Greenville, South Carolina",GS,38819,70647,0681,2025-11-24,2026-09-30,https://www.usajobs.gov:443/job/850893200
Dental Hygienist,Veterans Health Administration,"Marietta, Georgia",GS,81427,105852,0682,2025-11-13,2026-09-30,https://www.usajobs.gov:443/job/849976400
Dental Hygienist-Recruitment/Relocation Incentive,Veterans Health Administration,"Garland, Texas",GS,44285,87235,0682,2025-12-22,2026-12-21,https://www.usajobs.gov:443/job/853076700
Dental Laboratory Technician,Veterans Health Administration,"Washington, District of Columbia",GS,63307,90898,0683,2025-11-03,2026-11-02,https://www.usajobs.gov:443/job/849385800
Dentist (Oral Surgery) - Maxillofacial,Veterans Health Administration,"Gainesville, Florida",VM,279890,400000,0680,2026-01-20,2026-12-31,https://www.usajobs.gov:443/job/854921100
Dentist - Oral Surgeon,Veterans Health Administration,"Columbia, South Carolina",VM,350000,400000,0680,2025-12-04,2026-09-30,https://www.usajobs.gov:443/job/851665900
Dentist - Oral Surgeon,Veterans Health Administration,"Greenville, South Carolina",AD,123077,400000,0680,2025-12-12,2026-09-30,https://www.usajobs.gov:443/job/852289900
Dentist - Oral and Maxillofacial Surgeon,Veterans Health Administration,"Albany, New York",VM,225000,350000,0680,2025-10-08,2026-09-30,https://www.usajobs.gov:443/job/848103000
Diagnostic Radiologic Technologist (Computed Tomography),Veterans Health Administration,"Gainesville, Florida",GS,72220,93884,0647,2026-01-23,2026-12-31,https://www.usajobs.gov:443/job/855381200
Diagnostic Radiologic Technologist (Computed Tomography),Veterans Health Administration,"Huntsville, Alabama",GS,74538,96898,0647,2025-12-12,2026-09-30,https://www.usajobs.gov:443/job/852355000
Diagnostic Radiologic Technologist (General Radiology),Veterans Health Administration,"Charleston, South Carolina",GS,66125,81785,0647,2025-12-19,2026-09-30,https://www.usajobs.gov:443/job/852938100
Diagnostic Radiologic Technologist (MRI),Veterans Health Administration,"Corpus Christi, Texas",GS,71007,92315,0647,2026-01-20,2027-01-19,https://www.usajobs.gov:443/job/854912600
Diagnostic Radiologic Technologist - CT,Veterans Health Administration,"Madison, Wisconsin",GS,56061,110441,0647,2026-02-05,2026-06-30,https://www.usajobs.gov:443/job/856653600
Diagnostic Radiologic Technologist - Computed Tomography,Veterans Health Administration,"Iowa City, Iowa",GS,84284,109576,0647,2025-10-17,2026-09-30,https://www.usajobs.gov:443/job/848321200
Diagnostic Radiologic Technologist - MRI,Veterans Health Administration,"Lexington, Kentucky",GS,83784,108917,0647,2025-12-11,2026-09-30,https://www.usajobs.gov:443/job/852187600
Diagnostic Radiologic Technologist -Computed Tomography,Veterans Health Administration,"Gainesville, Florida",GS,72220,93884,0647,2026-01-23,2026-12-31,https://www.usajobs.gov:443/job/855380400
Dietitian (Clinical),Veterans Health Administration,"Corpus Christi, Texas",GS,50203,96584,0630,2025-10-31,2026-10-30,https://www.usajobs.gov:443/job/849285200
Dietitian (Clinical),Veterans Health Administration,"Dallas, Texas",GS,54857,105547,0630,2026-01-02,2026-12-31,https://www.usajobs.gov:443/job/853487300
Dietitian (Clinical),Veterans Health Administration,"Dallas, Texas",GS,54857,105547,0630,2026-01-09,2026-07-31,https://www.usajobs.gov:443/job/853896200
Dietitian (Clinical),Veterans Health Administration,"Longview, Texas",GS,50460,97087,0630,2026-01-26,2026-07-07,https://www.usajobs.gov:443/job/855513600
Environmental Services (EVS) Technician,Veterans Health Administration,"Columbia, Missouri",WG,17.78,20.75,3566,2025-11-06,2026-09-30,https://www.usajobs.gov:443/job/849735300
Environmental Services Technician,Veterans Health Administration,"Birmingham, Alabama",WG,18.17,21.2,3566,2025-12-01,2026-09-30,https://www.usajobs.gov:443/job/851240000
Environmental Services Technician,Veterans Health Administration,"Charleston, South Carolina",WG,18.35,21.4,3566,2025-11-03,2026-09-30,https://www.usajobs.gov:443/job/849365900
Food Service Worker,Veterans Health Administration,"Bedford, Massachusetts",WG,19.54,22.79,7408,2025-10-22,2026-08-26,https://www.usajobs.gov:443/job/848714500
Food Service Worker,Veterans Health Administration,"Charleston, South Carolina",WG,20.21,23.57,7408,2025-11-12,2026-09-30,https://www.usajobs.gov:443/job/849958600
Food Service Worker,Veterans Health Administration,"East Orange, New Jersey",WG,23.28,27.18,7408,2026-06-05,2026-12-04,https://www.usajobs.gov:443/job/854858300
Food Service Worker,Veterans Health Administration,"Grand Junction, Colorado",WG,18.04,21.05,7408,2025-10-29,2026-09-30,https://www.usajobs.gov:443/job/849121200
