Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
COMPUTER ENGINEER,Air Combat Command,"Eglin AFB, Florida",GS,106437,138370,0854,2026-01-21,2026-01-29,https://www.usajobs.gov:443/job/855038500
COMPUTER ENGINEER (INTERDISCIPLINARY),Air Combat Command,"Eglin AFB, Florida",GS,50460,116362,0854,2026-01-07,2026-01-13,https://www.usajobs.gov:443/job/853675400
COMPUTER SCIENTIST,Air Combat Command,"Eglin AFB, Florida",GS,106437,138370,1550,2026-01-05,2026-01-12,https://www.usajobs.gov:443/job/853583900
ELECTRONICS ENGINEER,Air Combat Command,"Eglin AFB, Florida",GS,105383,137000,0854,2025-12-30,2026-01-06,https://www.usajobs.gov:443/job/853309400
ELECTRONICS ENGINEER,Air Combat Command,"Eglin AFB, Florida",GS,105383,137000,0854,2026-01-08,2026-01-14,https://www.usajobs.gov:443/job/853808700
ELECTRONICS ENGINEER,Air Combat Command,"Eglin AFB, Florida",GS,106437,138370,0854,2026-01-08,2026-01-15,https://www.usajobs.gov:443/job/853885900
ELECTRONICS ENGINEER,Air Combat Command,"Eglin AFB, Florida",GS,106437,138370,0854,2026-03-11,2026-03-17,https://www.usajobs.gov:443/job/860791800
ELECTRONICS ENGINEER,Air Combat Command,"Eglin AFB, Florida",GS,106437,138370,0854,2026-04-28,2026-05-04,https://www.usajobs.gov:443/job/866736200
ELECTRONICS ENGINEER,Air Combat Command,"Eglin AFB, Florida",GS,106437,138370,0854,2026-04-28,2026-05-04,https://www.usajobs.gov:443/job/866749800
ELECTRONICS ENGINEER (INTERDISCIPLINARY),Air Combat Command,"Eglin AFB, Florida",GS,105383,137000,0854,2025-12-24,2026-01-02,https://www.usajobs.gov:443/job/853094400
ELECTRONICS ENGINEER (INTERDISCIPLINARY),Air Combat Command,"Eglin AFB, Florida",GS,105383,137000,0854,2025-12-24,2026-01-02,https://www.usajobs.gov:443/job/853115500
ELECTRONICS ENGINEER (INTERDISCIPLINARY),Air Combat Command,"Eglin AFB, Florida",GS,105383,137000,0854,2025-12-24,2026-01-02,https://www.usajobs.gov:443/job/853145100
ELECTRONICS ENGINEER (INTERDISCIPLINARY),Air Combat Command,"Eglin AFB, Florida",GS,105383,137000,0850,2026-01-05,2026-01-09,https://www.usajobs.gov:443/job/853548500
ELECTRONICS ENGINEER (INTERDISCIPLINARY),Air Combat Command,"Eglin AFB, Florida",GS,106437,138370,0854,2026-01-06,2026-01-12,https://www.usajobs.gov:443/job/853553500
ELECTRONICS ENGINEER (INTERDISCIPLINARY),Air Combat Command,"Eglin AFB, Florida",GS,105383,137000,0854,2026-01-14,2026-01-21,https://www.usajobs.gov:443/job/854459600
ELECTRONICS ENGINEER - INTERDISCIPLINARY,Air Combat Command,"Eglin AFB, Florida",GS,106437,138370,0854,2026-03-04,2026-03-11,https://www.usajobs.gov:443/job/859612500
ELECTRONICS ENGINEER - INTERDISCIPLINARY,Air Combat Command,"Eglin AFB, Florida",GS,89508,116362,0854,2026-03-17,2026-03-23,https://www.usajobs.gov:443/job/861272300
ELECTRONICS ENGINEER - INTERDISCIPLINARY POSITION,Air Combat Command,"Eglin AFB, Florida",GS,50460,116362,0854,2026-01-28,2026-02-04,https://www.usajobs.gov:443/job/855700900
OPERATIONS RESEARCH ANALYST/COMPUTER/ELECTRONICS ENGINEER/ COMPUTER SCIENTIST INTERDISCIPLINARY,Air Combat Command,"Eglin AFB, Florida",GS,106437,138370,0854,2026-03-13,2026-03-19,https://www.usajobs.gov:443/job/860982700
