Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
Project Analyst,Office of Personnel Management,"San Diego, California",GS,65271,91815,0343,2026-04-20,2026-05-19,https://www.usajobs.gov:443/job/865948900
Project Manager,Office of Personnel Management,"Denver, Colorado",GS,108001,158322,0343,2026-04-01,2026-04-08,https://www.usajobs.gov:443/job/863372900
Security Assistant,Office of Personnel Management,"Slippery Rock, Pennsylvania",GS,42117,54753,0086,2026-03-18,2026-04-01,https://www.usajobs.gov:443/job/861671900
Security Assistant,Office of Personnel Management,"Slippery Rock, Pennsylvania",GS,42117,54753,0086,2026-03-18,2026-04-01,https://www.usajobs.gov:443/job/861672000
Student Trainee (IT/Cyber),Office of Personnel Management,"Washington, District of Columbia",GS,36409,47334,2299,2026-03-27,2026-04-10,https://www.usajobs.gov:443/job/862829200
Student Trainee (Information Technology),Office of Personnel Management,"District of Columbia, District of Columbia",GS,36409,60593,2299,2026-05-04,2026-05-11,https://www.usajobs.gov:443/job/867644500
Student Trainee (Legal),Office of Personnel Management,"Washington, District of Columbia",GS,36409,52957,0999,2026-05-04,2026-05-11,https://www.usajobs.gov:443/job/867645900
Student Trainee( Administrative),Office of Personnel Management,"Washington, District of Columbia",GS,36409,47334,0399,2026-03-27,2026-04-10,https://www.usajobs.gov:443/job/862829500
Suitability Adjudicator,Office of Personnel Management,"Slippery Rock, Pennsylvania",GS,52171,67824,0080,2026-03-24,2026-04-06,https://www.usajobs.gov:443/job/862337800
Suitability Adjudicator,Office of Personnel Management,"Slippery Rock, Pennsylvania",GS,52171,67824,0080,2026-04-01,2026-04-15,https://www.usajobs.gov:443/job/863544300
Supervisory HR Specialist (Employee Relations),Office of Personnel Management,"Washington, District of Columbia",GS,142488,185234,0201,2026-04-01,2026-04-15,https://www.usajobs.gov:443/job/863565400
Supervisory Human Resources Specialist,Office of Personnel Management,"Washington, District of Columbia",GS,147945,197200,0201,2026-04-23,2026-05-06,https://www.usajobs.gov:443/job/866292900
Supervisory Management and Program Analyst,Office of Personnel Management,"Washington, District of Columbia",GS,125776,187093,0343,2026-02-27,2026-03-12,https://www.usajobs.gov:443/job/859291100
Supervisory Management and Program Analyst,Office of Personnel Management,"Washington, District of Columbia",GS,125776,187093,0343,2026-04-21,2026-05-04,https://www.usajobs.gov:443/job/865866700
Supervisory Medical Specialist,Office of Personnel Management,"Boyers, Pennsylvania",GS,110047,143062,0601,2026-04-30,2026-05-13,https://www.usajobs.gov:443/job/867434600
Supervisory Medical Specialist,Office of Personnel Management,"Boyers, Pennsylvania",GS,110047,143062,0601,2026-04-30,2026-05-13,https://www.usajobs.gov:443/job/867434700
Supervisory Personnel Security Specialist,Office of Personnel Management,"Washington, District of Columbia",GS,152963,197200,0080,2026-04-23,2026-05-07,https://www.usajobs.gov:443/job/866344100
Supervisory Program Analyst,Office of Personnel Management,"Washington, District of Columbia",GS,107446,139684,0343,2026-04-22,2026-05-06,https://www.usajobs.gov:443/job/866180300
Training Instructor,Office of Personnel Management,"Washington, District of Columbia",GS,121785,158322,1712,2026-04-03,2026-04-17,https://www.usajobs.gov:443/job/863822800
