Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
Actuary,Office of Personnel Management,"Washington, District of Columbia",GS,120579,185234,1510,2026-04-07,2026-04-21,https://www.usajobs.gov:443/job/864143400
Assistant Inspector General for Audits,Office of Personnel Management,"Washington, District of Columbia",ES,151661,228000,0511,2026-03-12,2026-03-26,https://www.usajobs.gov:443/job/860926300
Associate Chief Information Officer for Platforms,Office of Personnel Management,"Boyers, Pennsylvania",ES,151661,228000,2210,2026-04-10,2026-04-24,https://www.usajobs.gov:443/job/864693300
Associate Chief Information Officer for Products and Data,Office of Personnel Management,"Macon, Georgia",ES,151661,228000,2210,2026-04-10,2026-04-24,https://www.usajobs.gov:443/job/864692600
Attorney-Advisor (General),Office of Personnel Management,"Washington, District of Columbia",GS,74678,197200,0905,2026-02-11,2026-03-31,https://www.usajobs.gov:443/job/857576600
Attorney-Advisor (General),Office of Personnel Management,"Washington, District of Columbia",GS,121785,197200,0905,2026-03-12,2026-04-30,https://www.usajobs.gov:443/job/860971200
Attorney-Advisor (General),Office of Personnel Management,"Washington, District of Columbia",GS,102415,187093,0905,2026-04-28,2026-06-12,https://www.usajobs.gov:443/job/866911200
Auditor,Office of Personnel Management,"Washington, District of Columbia",GS,50460,80243,0511,2026-04-02,2026-04-16,https://www.usajobs.gov:443/job/863681300
Contract Specialist,Office of Personnel Management,"San Diego, California",GS,50460,92541,1102,2026-04-20,2026-05-19,https://www.usajobs.gov:443/job/865948400
Contract Specialist,Office of Personnel Management,"Washington, District of Columbia",GS,106437,158322,1102,2026-04-17,2026-04-30,https://www.usajobs.gov:443/job/865645800
Deputy Assistant Inspector General for Audits,Office of Personnel Management,"Washington, District of Columbia",ES,151661,228000,0511,2026-03-12,2026-03-26,https://www.usajobs.gov:443/job/860925300
Deputy Assistant Inspector General for Investigations,Office of Personnel Management,"Washington, District of Columbia",ES,151661,228000,1811,2026-04-01,2026-04-15,https://www.usajobs.gov:443/job/863544500
"Deputy Associate Director, Center for Employment and Compensation",Office of Personnel Management,"Washington, District of Columbia",ES,151661,228000,0340,2026-04-13,2026-04-27,https://www.usajobs.gov:443/job/864868700
"Deputy Associate Director, Center for Leadership, Performance, and Accountability",Office of Personnel Management,"Washington, District of Columbia",ES,151661,228000,0340,2026-04-13,2026-04-27,https://www.usajobs.gov:443/job/864877100
Financial Management Specialist,Office of Personnel Management,"San Diego, California",GS,61722,114413,0501,2026-04-20,2026-05-19,https://www.usajobs.gov:443/job/865949300
HR Assistant (Information Systems),Office of Personnel Management,"Washington, District of Columbia",GS,43106,68549,0203,2026-05-04,2026-05-08,https://www.usajobs.gov:443/job/867480800
HR Specialist (Compensation),Office of Personnel Management,"Washington, District of Columbia",GS,63795,99404,0201,2026-05-01,2026-05-14,https://www.usajobs.gov:443/job/867497800
HR Specialist (Information Systems),Office of Personnel Management,"Washington, District of Columbia",GS,90925,118204,0201,2026-03-13,2026-03-27,https://www.usajobs.gov:443/job/860887800
HR Specialist (Labor Relations),Office of Personnel Management,"District of Columbia, District of Columbia",GS,106437,187093,0201,2026-04-28,2026-05-12,https://www.usajobs.gov:443/job/867021400
HR Specialist (Performance Management),Office of Personnel Management,"Washington, District of Columbia",GS,125776,185234,0201,2026-04-24,2026-05-08,https://www.usajobs.gov:443/job/866702800
Human Resources Specialist,Office of Personnel Management,"Washington, District of Columbia",GS,43106,68549,0201,2026-05-04,2026-05-08,https://www.usajobs.gov:443/job/867656500
Human Resources Specialist,Office of Personnel Management,"Washington, District of Columbia",GS,52727,82938,0201,2026-05-07,2026-05-11,https://www.usajobs.gov:443/job/868056900
Human Resources Specialist (Employee Benefits),Office of Personnel Management,"Washington, District of Columbia",GS,63795,99404,0201,2026-05-07,2026-05-11,https://www.usajobs.gov:443/job/867838500
Human Resources Specialist (Employee Relations/Labor Relations),Office of Personnel Management,"San Diego, California",GS,50460,91815,0201,2026-04-20,2026-05-19,https://www.usajobs.gov:443/job/865948100
IT Specialist,Office of Personnel Management,"District of Columbia, District of Columbia",GS,143913,187093,2210,2026-03-04,2026-03-06,https://www.usajobs.gov:443/job/859818500
IT Specialist,Office of Personnel Management,"District of Columbia, District of Columbia",GS,143913,187093,2210,2026-03-04,2026-03-06,https://www.usajobs.gov:443/job/859818700
IT Specialist,Office of Personnel Management,"San Diego, California",GS,61722,111966,2210,2026-04-22,2026-05-21,https://www.usajobs.gov:443/job/866249900
IT Specialist (APPSW),Office of Personnel Management,"Washington, District of Columbia",GS,106437,158322,2210,2026-02-27,2026-03-13,https://www.usajobs.gov:443/job/859381500
Labor Relations Specialist (Chief Negotiator),Office of Personnel Management,"District of Columbia, District of Columbia",GS,143913,187093,0201,2026-03-24,2026-04-06,https://www.usajobs.gov:443/job/862331200
Lead Human Resources Specialist,Office of Personnel Management,"Washington, District of Columbia",GS,76463,99404,0201,2026-05-01,2026-05-05,https://www.usajobs.gov:443/job/867470400
Lead Human Resources Specialist,Office of Personnel Management,"Washington, District of Columbia",GS,107446,139684,0201,2026-05-06,2026-05-20,https://www.usajobs.gov:443/job/868017100
Legal Administrative Specialist,Office of Personnel Management,"Boyers, Pennsylvania",GS,63815,82965,0901,2026-03-11,2026-03-18,https://www.usajobs.gov:443/job/860706200
Legal Administrative Specialist,Office of Personnel Management,"Washington, District of Columbia",GS,70623,111087,0901,2026-03-11,2026-03-18,https://www.usajobs.gov:443/job/860706100
Management Analyst,Office of Personnel Management,"Washington, District of Columbia",GS,90925,118204,0343,2026-05-06,2026-05-10,https://www.usajobs.gov:443/job/868025800
Personnel Security Specialist,Office of Personnel Management,"Slippery Rock, Pennsylvania",GS,110047,143062,0080,2026-04-02,2026-04-16,https://www.usajobs.gov:443/job/863639900
"Principal Deputy Associate Director, HI",Office of Personnel Management,"Washington, District of Columbia",ES,151661,228000,0340,2026-04-17,2026-05-01,https://www.usajobs.gov:443/job/865602100
