Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
ENGINEER/SCIENTIST,Naval Sea Systems Command,"Dahlgren, Virginia",ND,46610,158322,0854,2026-02-17,2027-02-15,https://www.usajobs.gov:443/job/857832800
ENGINEER/SCIENTIST,Naval Sea Systems Command,"Dahlgren, Virginia",ND,118204,158322,0801,2026-02-19,2026-03-20,https://www.usajobs.gov:443/job/858075700
ENGINEER/SCIENTIST,Naval Sea Systems Command,"Dahlgren, Virginia",ND,143913,197200,0801,2026-02-27,2026-03-12,https://www.usajobs.gov:443/job/859067700
ENGINEER/SCIENTIST,Naval Sea Systems Command,"Dam Neck Naval Facility, Virginia Beach, Virginia",ND,90838,140426,0854,2025-10-27,2026-04-24,https://www.usajobs.gov:443/job/848864700
ENGINEER/SCIENTIST Unmanned Surface Vessel Lead Mission Autonomy Software Developer,Naval Sea Systems Command,"Dahlgren, Virginia",ND,101401,156755,0801,2025-12-18,2026-03-23,https://www.usajobs.gov:443/job/852781900
MANAGER,Naval Sea Systems Command,"Naval Base Newport, Rhode Island",ND,142452,197200,0830,2026-02-26,2026-03-11,https://www.usajobs.gov:443/job/858731300
SOFTWARE DEVELOPER,Naval Sea Systems Command,"Dahlgren, Virginia",ND,101401,156755,1550,2025-10-22,2026-10-21,https://www.usajobs.gov:443/job/848520700
TECHNICAL PROJECT MANAGER,Naval Sea Systems Command,"Dahlgren, Virginia",ND,143913,197200,0801,2026-02-27,2026-03-12,https://www.usajobs.gov:443/job/859147100
INTERDISCIPLINARY,STRATEGIC SYSTEMS PROGRAMS (SSP),"Washington Navy Yard, District of Columbia",NH,102415,158322,0801,2026-02-13,2026-03-06,https://www.usajobs.gov:443/job/857694900
INTERDISCIPLINARY ENGINEER/SCIENTIST,STRATEGIC SYSTEMS PROGRAMS (SSP),"Pittsfield, Massachusetts",GS,109810,142755,0801,2026-02-25,2026-03-06,https://www.usajobs.gov:443/job/858685200
"Data Specialist, (Computer Scientist), NSIC",United States Space Force Forces,"Dayton, Ohio",GG,109308,142103,1550,2026-02-27,2026-03-06,https://www.usajobs.gov:443/job/859281500
Research Computer Scientist,Veterans Health Administration,"Richmond, Virginia",ZZ,0,0,1550,2026-02-20,2026-03-06,https://www.usajobs.gov:443/job/858262000
