Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
International Transportation Analyst (Maritime) (Open to both U.S. Citizens and Federal Employees),Department of Transportation - Agency Wide,"Washington, District of Columbia",GS,143913,187093,2101,2026-02-20,2026-03-20,https://www.usajobs.gov:443/job/858194300
"ATCS, Certified Professional Controller (CPC)(Level 12),AT-2152-LH",Federal Aviation Administration,"Westbury, New York",AT,179627,225700,2152,2026-01-07,2027-01-06,https://www.usajobs.gov:443/job/853637600
Aerospace Engineer (Cabin Safety),Federal Aviation Administration,"Tutuila Island, American Samoa",FV,95489,148037,0861,2026-02-23,2026-03-06,https://www.usajobs.gov:443/job/858208500
Aerospace Engineer (Cabin Safety) (Direct Hire),Federal Aviation Administration,"Belgium, Belgium",FV,95489,148037,0861,2026-02-23,2026-03-06,https://www.usajobs.gov:443/job/858209600
Air Traffic Control Specialist,Federal Aviation Administration,"College Park, Georgia",FV,112283,173980,2152,2026-02-26,2026-03-06,https://www.usajobs.gov:443/job/858940700
Air Traffic Control Specialist,Federal Aviation Administration,"Washington, District of Columbia",FV,127898,198281,2152,2026-02-24,2026-03-10,https://www.usajobs.gov:443/job/858530500
Air Traffic Control Specialist,Federal Aviation Administration,"Washington, District of Columbia",FV,95489,148037,2152,2026-02-25,2026-03-11,https://www.usajobs.gov:443/job/858710400
Air Traffic Control Specialist,Federal Aviation Administration,"Washington, District of Columbia",FV,95489,148037,2152,2026-02-25,2026-03-11,https://www.usajobs.gov:443/job/858751800
Air Traffic Control Specialist,Federal Aviation Administration,"Washington, District of Columbia",FV,95489,148037,2152,2026-02-26,2026-03-12,https://www.usajobs.gov:443/job/858899200
Air Traffic Control Specialist  (Traffic Management Coordinator),Federal Aviation Administration,"Peachtree City, Georgia",AT,162801,219781,2152,2026-02-26,2026-03-18,https://www.usajobs.gov:443/job/858871700
Air Traffic Control Specialist (CPC),Federal Aviation Administration,"Elgin, Illinois",AT,170395,225700,2152,2025-09-30,2026-09-29,https://www.usajobs.gov:443/job/846824100
Air Traffic Control Specialist (CPC),Federal Aviation Administration,"Philadelphia, Pennsylvania",AT,167960,225700,2152,2025-12-19,2026-12-18,https://www.usajobs.gov:443/job/852892700
Air Traffic Control Specialist (Direct Hire Enhanced CTI Program/E-CTI),Federal Aviation Administration,"Saint Thomas, Virgin Islands",AT,47026,177543,2152,2025-10-03,2026-10-02,https://www.usajobs.gov:443/job/847388600
Air Traffic Control Specialist (Staff Support Specialist ),Federal Aviation Administration,"Miami, Florida",AT,163958,221343,2152,2026-02-27,2026-03-19,https://www.usajobs.gov:443/job/858834700
Air Traffic Control Specialist (Staff Support Specialist - MSS-1),Federal Aviation Administration,"Wichita, Kansas",AT,109627,147997,2152,2026-02-11,2026-03-03,https://www.usajobs.gov:443/job/857115400
Air Traffic Control Specialist (Staff Support Specialist),Federal Aviation Administration,"Camp Springs, Maryland",AT,92965,125501,2152,2026-02-11,2026-03-03,https://www.usajobs.gov:443/job/857175300
"Air Traffic Control Specialist (Staff Support Specialist, Level 8)",Federal Aviation Administration,"Albuquerque, New Mexico",AT,110816,149602,2152,2026-02-28,2026-03-09,https://www.usajobs.gov:443/job/858898900
Air Traffic Control Specialist (Staff Support Specialist- MSS-1-LEV-5),Federal Aviation Administration,"Clarksburg, West Virginia",AT,81249,109685,2152,2026-02-24,2026-03-16,https://www.usajobs.gov:443/job/858483200
Air Traffic Control Specialist (Support Specialist),Federal Aviation Administration,"Houston, Texas",AT,177544,228000,2152,2026-02-26,2026-03-09,https://www.usajobs.gov:443/job/859006800
Air Traffic Control Specialist (Traffic Management Coordinator),Federal Aviation Administration,"Atlanta, Georgia",AT,162801,219781,2152,2026-02-10,2026-03-02,https://www.usajobs.gov:443/job/856899700
Air Traffic Control Specialist (Traffic Management Coordinator),Federal Aviation Administration,"Charlotte, North Carolina",AT,157382,212466,2152,2026-02-10,2026-03-02,https://www.usajobs.gov:443/job/856986200
"Air Traffic Control Specialist, Staff Support Specialist",Federal Aviation Administration,"Englewood, Colorado",AT,122232,165014,2152,2026-02-18,2026-03-10,https://www.usajobs.gov:443/job/857920300
"Air Traffic Control Specialist, Traffic Management Coordinator (AT-2152-KH)",Federal Aviation Administration,"Los Angeles County, California",AT,170925,228000,2152,2026-02-21,2026-03-13,https://www.usajobs.gov:443/job/858459700
Airway Transportation System Specialist  (SOC NAS),Federal Aviation Administration,"Hampton, Georgia",FV,95753,148403,2101,2026-02-27,2026-03-19,https://www.usajobs.gov:443/job/859028500
Airway Transportation System Specialist  (SOC NOM),Federal Aviation Administration,"Hampton, Georgia",FV,118206,183255,2101,2026-02-27,2026-03-19,https://www.usajobs.gov:443/job/859024300
Airway Transportation Systems Specialist,Federal Aviation Administration,"Hampton, Georgia",FV,94544,146571,2101,2026-03-02,2026-03-23,https://www.usajobs.gov:443/job/859284100
Airway Transportation Systems Specialist ,Federal Aviation Administration,"Hampton, Georgia",FV,75279,116689,2101,2026-02-27,2026-03-19,https://www.usajobs.gov:443/job/859176200
Airway Transportation Systems Specialist  (ATSS Coordinator),Federal Aviation Administration,"Birmingham, Alabama",FV,91460,141750,2101,2026-02-25,2026-03-17,https://www.usajobs.gov:443/job/858694800
Airway Transportation Systems Specialist  (ATSS Coordinator),Federal Aviation Administration,"Columbus, Georgia",FV,77351,119883,2101,2026-02-25,2026-03-17,https://www.usajobs.gov:443/job/858701400
