Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
Associate Deputy Director,Administration for Children and Families,"Washington, District of Columbia",GS,169279,197200,0301,2026-03-27,2026-03-31,https://www.usajobs.gov:443/job/862457000
Incident Reporting Specialist,Administration for Children and Families,"Washington, District of Columbia",GS,121785,158322,0301,2026-01-20,2026-01-26,https://www.usajobs.gov:443/job/854765300
Information Technology Specialist,Administration for Children and Families,"Washington, District of Columbia",GS,121785,158322,2210,2026-03-26,2026-03-30,https://www.usajobs.gov:443/job/862288100
SUPERVISORY INFORMATION TECHNOLOGY SPECIALIST,Administration for Children and Families,"Washington, District of Columbia",GS,169279,197200,2210,2026-02-19,2026-02-24,https://www.usajobs.gov:443/job/858206600
Social Science Research Analyst,Administration for Children and Families,"Washington, District of Columbia",GS,102415,133142,0101,2026-01-20,2026-01-24,https://www.usajobs.gov:443/job/854677000
Supervisory Monitoring Program Specialist,Administration for Children and Families,"Washington, District of Columbia",GS,121785,158322,0101,2026-04-07,2026-04-11,https://www.usajobs.gov:443/job/863992200
Supervisory Program Management Specialist,Administration for Children and Families,"Washington, District of Columbia",GS,169279,197200,0301,2026-04-07,2026-04-11,https://www.usajobs.gov:443/job/863988600
Triage Analyst,Administration for Children and Families,"Washington, District of Columbia",GS,121785,158322,0301,2026-01-15,2026-01-20,https://www.usajobs.gov:443/job/854608400
(Pathways Public Health Associates Program) - Public Health Advisor,Centers for Disease Control and Prevention,"Salt Lake City, Utah",GS,43106,56039,0685,2026-04-06,2026-04-13,https://www.usajobs.gov:443/job/864047600
Agency Resolution Official,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,156451,197200,0301,2026-02-26,2026-03-02,https://www.usajobs.gov:443/job/858995900
Computer Scientist (Data Scientist),Centers for Disease Control and Prevention,"San Francisco, California",GS,125776,163514,1550,2026-04-03,2026-04-09,https://www.usajobs.gov:443/job/863308100
Computer Scientist (Data Scientist),Centers for Disease Control and Prevention,"San Francisco, California",GS,112556,146325,1550,2026-04-08,2026-04-17,https://www.usajobs.gov:443/job/863799600
Health Scientist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,112556,146325,0601,2026-03-10,2026-03-16,https://www.usajobs.gov:443/job/860208500
Health Scientist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,133007,172915,0601,2026-03-12,2026-03-18,https://www.usajobs.gov:443/job/860352100
Health Scientist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,112556,146325,0601,2026-03-13,2026-03-17,https://www.usajobs.gov:443/job/860999600
Health Scientist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,112556,146325,0601,2026-03-26,2026-04-01,https://www.usajobs.gov:443/job/862694600
Health Scientist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,133007,172915,0601,2026-03-31,2026-04-03,https://www.usajobs.gov:443/job/862911800
