Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
(Detail) Human Capital Specialist,Office of Management and Budget,"Washington, District of Columbia",GS,102415,187093,0301,2026-02-05,2026-04-06,https://www.usajobs.gov:443/job/856667600
(Detail) Program Examiner,Office of Management and Budget,"Washington, District of Columbia",GS,70623,197200,0301,2026-03-04,2026-04-06,https://www.usajobs.gov:443/job/859741900
Associate Deputy Administrator for the Office of Information and Regulatory Affairs,Office of Management and Budget,"Washington, District of Columbia",ES,198200,228000,0301,2026-02-23,2026-03-09,https://www.usajobs.gov:443/job/858388400
Associate General Counsel for Agency Programs,Office of Management and Budget,"Washington, District of Columbia",ES,198200,228000,0905,2026-04-27,2026-05-11,https://www.usajobs.gov:443/job/866321100
Associate General Counsel for Management and Information,Office of Management and Budget,"Washington, District of Columbia",ES,198200,228000,0905,2026-04-27,2026-05-11,https://www.usajobs.gov:443/job/866320500
"Attorney - Advisor (Appropriations, Employment or Ethics)",Office of Management and Budget,"Washington, District of Columbia",GS,121785,197200,0905,2026-04-27,2026-05-11,https://www.usajobs.gov:443/job/866340100
"Deputy Associate Director for Transportation, Homeland Security, Justice, and Services",Office of Management and Budget,"Washington, District of Columbia",ES,198200,228000,0301,2026-03-31,2026-04-14,https://www.usajobs.gov:443/job/863130800
Economist,Office of Management and Budget,"Washington, District of Columbia",GS,102415,158322,0110,2026-03-03,2026-03-24,https://www.usajobs.gov:443/job/859499500
Economist,Office of Management and Budget,"Washington, District of Columbia",GS,121785,197200,0110,2026-03-27,2026-04-10,https://www.usajobs.gov:443/job/862786200
Executive Director for the Office of the Federal Chief Information Officer,Office of Management and Budget,"Washington, District of Columbia",ES,198200,228000,0301,2026-05-11,2026-05-26,https://www.usajobs.gov:443/job/868270100
Policy Analyst,Office of Management and Budget,"Washington, District of Columbia",GS,121785,197200,0301,2026-03-27,2026-04-10,https://www.usajobs.gov:443/job/862804700
Policy Analyst,Office of Management and Budget,"Washington, District of Columbia",GS,85447,197200,0301,2026-03-27,2026-04-10,https://www.usajobs.gov:443/job/862805800
Policy Analyst (Detail Opportunity),Office of Management and Budget,"Washington, District of Columbia",GS,143913,197200,0301,2026-03-18,2026-05-18,https://www.usajobs.gov:443/job/861483300
Program Examiner,Office of Management and Budget,"Washington, District of Columbia",GS,102415,158322,0301,2026-04-13,2026-04-17,https://www.usajobs.gov:443/job/864556800
Program Examiner,Office of Management and Budget,"Washington, District of Columbia",GS,70623,197200,0301,2026-04-20,2026-04-27,https://www.usajobs.gov:443/job/865497200
Program Examiner (Health Insurance Administrator),Office of Management and Budget,"Washington, District of Columbia",GS,102415,187093,0107,2026-04-06,2026-04-10,https://www.usajobs.gov:443/job/863689900
Program Examiner (National Security),Office of Management and Budget,"Washington, District of Columbia",GS,143913,197200,0301,2026-04-06,2026-04-10,https://www.usajobs.gov:443/job/863552900
Program Specialist (Recent Grad),Office of Management and Budget,"Washington, District of Columbia",GS,57736,91815,0301,2026-04-27,2026-05-01,https://www.usajobs.gov:443/job/866508200
Support Services Specialist (Detail Opportunity),Office of Management and Budget,"Washington, District of Columbia",GS,102415,133142,0342,2026-02-11,2026-03-11,https://www.usajobs.gov:443/job/857191000
