Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
COMPUTER ENGINEER,Air Force Civilian Career Training,"Salt Lake City, Utah",GS,56763,88225,0854,2025-10-01,2026-09-30,https://www.usajobs.gov:443/job/847080100
ENGINEERING,Air Force Civilian Career Training,"Gunter AFB, Alabama",GS,55486,99314,0801,2025-09-29,2026-09-28,https://www.usajobs.gov:443/job/846773600
Software Developer/Data Scientist (Interdisciplinary) - Direct Hire Authority,"Air Force Elements, U.S. Strategic Command","Dahlgren, Virginia",DR,101103,158756,0854,2026-05-26,2026-09-22,https://www.usajobs.gov:443/job/870514400
Public Notice - Engineering (Direct Hire),Armstrong Flight Research Center,"Edwards AFB, California",GS,58827,197200,0801,2026-09-16,2026-09-21,https://www.usajobs.gov:443/job/884757300
Computer Engineer (Cybersecurity),Bureau of Industry and Security,"Washington, District of Columbia",GS,102415,158322,0854,2026-09-17,2026-09-24,https://www.usajobs.gov:443/job/885123300
Computer Engineer,Defense Contract Management Agency,"Denver, Colorado",NH,100883,154280,0854,2026-09-14,2026-09-21,https://www.usajobs.gov:443/job/884430800
Computer Engineer,Defense Contract Management Agency,"Melbourne, Florida",NH,91152,139398,0854,2026-09-14,2026-09-25,https://www.usajobs.gov:443/job/884528100
Interdisciplinary,Defense Contract Management Agency,"Salt Lake City, Utah",GS,106437,138370,0801,2026-09-15,2026-09-20,https://www.usajobs.gov:443/job/884812000
Interdisciplinary Engineer,Defense Contract Management Agency,"East Hartford, Connecticut",GS,100992,131293,0801,2026-08-28,2026-09-21,https://www.usajobs.gov:443/job/882646000
Interdisciplinary,Defense Information Systems Agency,"Fort Meade, Maryland",GG,57736,158322,0854,2026-09-14,2026-09-21,https://www.usajobs.gov:443/job/884017600
Interdisciplinary (Cyber),Defense Information Systems Agency,"Fort Meade, Maryland",GG,143913,187093,0854,2026-09-11,2026-09-18,https://www.usajobs.gov:443/job/884267300
COMPUTER ENGINEER,Department of the Air Force Headquarters,"Point Mugu, California",GG,88054,155070,0854,2026-09-16,2026-09-22,https://www.usajobs.gov:443/job/884799800
Computer Engineer,Department of the Air Force Headquarters,"Eielson AFB, Alaska",GS,76463,164301,0854,2025-12-22,2026-12-21,https://www.usajobs.gov:443/job/852985200
Engineering,Department of the Air Force Headquarters,"Salt Lake City, Utah",GS,22584,164301,0801,2026-03-31,2027-03-30,https://www.usajobs.gov:443/job/863288600
Engineering and Architecture Family,Department of the Air Force Headquarters,"Salt Lake City, Utah",NH,22584,164301,0801,2026-03-30,2027-03-29,https://www.usajobs.gov:443/job/863064100
Public Notice for Computer Engineer (Direct Hire),Federal Aviation Administration,"Belgium, Belgium",FV,53528,173980,0854,2026-02-24,2027-02-23,https://www.usajobs.gov:443/job/858636600
Public Notice - Engineering (Direct Hire),George C. Marshall Space Flight Center,"Huntsville, Alabama",GS,56039,197200,0801,2026-09-18,2026-09-22,https://www.usajobs.gov:443/job/885160700
INTERDISCIPLINARY-ELECTRONICS ENGINEER/ELECTRICAL ENGINEER/ COMPUTER ENGINEER/COMPUTER SCIENTIST,National Air and Space Intelligence Center,"Wright-Patterson AFB, Ohio",GG,148275,192764,0850,2026-09-09,2026-09-22,https://www.usajobs.gov:443/job/883833600
Interdisciplinary-Mechanical Engineer/Computer Engineer/Electronics Engineer/Aerospace Engineer,National Air and Space Intelligence Center,"Wright-Patterson AFB, Ohio",GG,117753,153082,0830,2026-09-16,2026-09-22,https://www.usajobs.gov:443/job/884699300
INTERDISCIPLINARY ENGINEER,Naval Air Systems Command,"China Lake, California",DP,104349,161313,0801,2026-08-11,2026-11-10,https://www.usajobs.gov:443/job/879918500
INTERDISCIPLINARY ENGINEER,Naval Air Systems Command,"Patuxent River, Maryland",DP,102415,158322,0801,2026-07-15,2027-01-13,https://www.usajobs.gov:443/job/876707200
INTERDISCIPLINARY ENGINEER/SCIENTIST,Naval Air Systems Command,"Patuxent River, Maryland",DP,143913,197200,0850,2026-06-25,2026-12-24,https://www.usajobs.gov:443/job/874477700
ENGINEER/SCIENTIST,Naval Sea Systems Command,"Dahlgren, Virginia",ND,46610,158322,0854,2026-02-17,2027-02-15,https://www.usajobs.gov:443/job/857832800
ENGINEER/SCIENTIST,Naval Sea Systems Command,"Dahlgren, Virginia",ND,70623,158322,0854,2026-09-09,2026-10-09,https://www.usajobs.gov:443/job/883871800
ENGINEER/SCIENTIST,Naval Sea Systems Command,"Port Hueneme, California",ND,101206,156455,0854,2026-09-18,2026-09-23,https://www.usajobs.gov:443/job/885441900
SUPERVISORY ENGINEER OR SCIENTIST,Naval Sea Systems Command,"Naval Base Newport, Rhode Island",ND,101375,156715,0830,2026-09-17,2027-09-16,https://www.usajobs.gov:443/job/885071100
TECHNICAL PROJECT MANAGER,Naval Sea Systems Command,"Port Hueneme, California",ND,146632,197200,0830,2026-09-15,2026-09-29,https://www.usajobs.gov:443/job/884507900
GENERAL ENGINEER,U.S. Marine Corps,"Quantico, Virginia",NH,102415,158322,0801,2026-07-29,2026-09-29,https://www.usajobs.gov:443/job/878498000
GENERAL ENGINEER,U.S. Marine Corps,"Quantico, Virginia",NH,102415,158322,0801,2026-07-29,2026-09-30,https://www.usajobs.gov:443/job/878549000
GENERAL ENGINEER,U.S. Marine Corps,"Quantico, Virginia",NH,102415,102415,0801,2026-08-28,2026-09-28,https://www.usajobs.gov:443/job/882591600
GENERAL ENGINEER,U.S. Marine Corps,"Quantico, Virginia",NH,102415,158322,0801,2026-08-28,2026-09-29,https://www.usajobs.gov:443/job/882677500
INTERDISCIPLINARY ENGINEER,U.S. Marine Corps,"Quantico, Virginia",NH,102415,158322,0801,2026-08-03,2026-10-05,https://www.usajobs.gov:443/job/879043800
