Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
HR Specialist,Office of Personnel Management,"Lakewood, Colorado",GS,76463,118204,0201,2026-07-29,2026-08-12,https://www.usajobs.gov:443/job/878241300
Lead HR Specialist,Office of Personnel Management,"Lakewood, Colorado",GS,107446,139684,0201,2026-07-30,2026-08-13,https://www.usajobs.gov:443/job/878392300
Paralegal Specialist,Office of Personnel Management,"Washington, District of Columbia",GS,70623,111087,0950,2026-07-23,2026-08-06,https://www.usajobs.gov:443/job/877695100
Program Manager,Office of Personnel Management,"Washington, District of Columbia",GS,169279,197200,0340,2026-08-05,2026-08-19,https://www.usajobs.gov:443/job/879303500
Student Trainee (AI Data Engineer),Office of Personnel Management,"Macon, Georgia",GS,17.45,22.68,2299,2026-07-23,2026-08-06,https://www.usajobs.gov:443/job/877745700
Student Trainee( Administrative),Office of Personnel Management,"Washington, District of Columbia",GS,17.45,29.03,0399,2026-07-23,2026-08-06,https://www.usajobs.gov:443/job/877697600
Student Trainee(Investigative Assistant),Office of Personnel Management,"Cranberry Township, Pennsylvania",GS,17.45,23.45,1899,2026-08-05,2026-08-19,https://www.usajobs.gov:443/job/879339900
Supervisory HR Specialist (Employee Benefits),Office of Personnel Management,"Lakewood, Colorado",GS,107446,139684,0201,2026-07-30,2026-08-12,https://www.usajobs.gov:443/job/878414400
