Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
Accountant,Internal Revenue Service,"Beckley, West Virginia",GS,106437,138370,0510,2026-08-20,2026-08-26,https://www.usajobs.gov:443/job/881282800
Chief of Staff Risk and Control Office,Internal Revenue Service,"Washington, District of Columbia",ES,151661,228000,0340,2026-08-07,2026-08-20,https://www.usajobs.gov:443/job/879332700
Computer Engineer (Voice Engineer),Internal Revenue Service,"Fresno, California",GS,147945,197200,0854,2026-08-18,2026-08-24,https://www.usajobs.gov:443/job/880991800
Computer Engineer (Voice Engineer),Internal Revenue Service,"Fresno, California",GS,125776,192694,0854,2026-08-20,2026-08-26,https://www.usajobs.gov:443/job/881265600
Criminal Investigator,Internal Revenue Service,"Anchorage, Alaska",GL,57188,102887,1811,2026-08-17,2026-08-27,https://www.usajobs.gov:443/job/880917400
Director Continuity Operations,Internal Revenue Service,"Atlanta, Georgia",ES,151661,228000,0340,2026-08-07,2026-08-20,https://www.usajobs.gov:443/job/879422800
Director Field Operations North Atlantic,Internal Revenue Service,"New Haven, Connecticut",ES,151661,228000,0340,2026-08-13,2026-08-26,https://www.usajobs.gov:443/job/880251700
Director Joint Operations Center,Internal Revenue Service,"Atlanta, Georgia",ES,151661,228000,0340,2026-08-20,2026-09-02,https://www.usajobs.gov:443/job/881068800
Disclosure Enforcement Specialist,Internal Revenue Service,"Phoenix, Arizona",GS,89508,172980,1801,2026-08-20,2026-08-26,https://www.usajobs.gov:443/job/881376500
Division Counsel/Associate Chief Counsel (National Taxpayer Advocate Program),Internal Revenue Service,"Charlotte Amalie, Virgin Islands",ES,151661,228000,0905,2026-08-14,2026-09-04,https://www.usajobs.gov:443/job/880672700
General Attorney (Tax) - Senior Counsel (INTL),Internal Revenue Service,"Washington, District of Columbia",GS,169279,197200,0905,2026-08-14,2026-08-28,https://www.usajobs.gov:443/job/880750900
Government Information Specialist (Privacy Analyst),Internal Revenue Service,"Charlotte Amalie, Virgin Islands",GS,89508,145468,0306,2026-08-20,2026-08-26,https://www.usajobs.gov:443/job/881439500
Governmental Information Specialist,Internal Revenue Service,"Charlotte Amalie, Virgin Islands",GS,106437,172980,0306,2026-08-20,2026-08-26,https://www.usajobs.gov:443/job/881396600
IT Specialist (DATAMGT),Internal Revenue Service,"Fresno, California",GS,125776,192694,2210,2026-08-18,2026-08-24,https://www.usajobs.gov:443/job/880988800
IT Specialist (Data Ingestion & Transformation Engineer),Internal Revenue Service,"Anchorage, Alaska",GS,106437,172980,2210,2026-08-17,2026-08-21,https://www.usajobs.gov:443/job/880814100
Information Technology Specialist (APPSW),Internal Revenue Service,"Anchorage, Alaska",GS,106437,172980,2210,2026-08-14,2026-08-20,https://www.usajobs.gov:443/job/880481700
Information Technology Specialist (Applications Software),Internal Revenue Service,"Anchorage, Alaska",GS,125776,197200,2210,2026-08-19,2026-08-25,https://www.usajobs.gov:443/job/880997700
Information Technology Specialist (DATAMGT),Internal Revenue Service,"Fresno, California",GS,125776,192694,2210,2026-08-20,2026-08-24,https://www.usajobs.gov:443/job/881325400
Internal Revenue Agent (Computer Audit Specialist),Internal Revenue Service,"Anchorage, Alaska",GS,106437,172980,0512,2026-08-20,2026-08-26,https://www.usajobs.gov:443/job/881280300
Internal Revenue Agent (Employee Plans Agent),Internal Revenue Service,"Glendale, Arizona",GS,40736,137128,0512,2026-08-10,2026-08-21,https://www.usajobs.gov:443/job/879933000
