Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
DATA SCIENTIST,Air Force Civilian Career Training,"Gunter AFB, Alabama",GS,49960,99314,1560,2025-09-29,2026-09-28,https://www.usajobs.gov:443/job/846709300
Software Developer/Data Scientist (Interdisciplinary) - Direct Hire Authority,"Air Force Elements, U.S. Strategic Command","Dahlgren, Virginia",DR,101103,158756,0854,2026-05-26,2026-09-22,https://www.usajobs.gov:443/job/870514400
Data Scientist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,133007,172915,1560,2026-09-02,2026-09-06,https://www.usajobs.gov:443/job/882835500
Data Scientist,Citizenship and Immigration Services,"Camp Springs, Maryland",GS,102415,158322,1560,2026-09-01,2026-09-07,https://www.usajobs.gov:443/job/882803700
Supervisory Data Scientist,Citizenship and Immigration Services,"Camp Springs, Maryland",GS,107446,139684,1560,2026-09-02,2026-09-08,https://www.usajobs.gov:443/job/883189700
Data Scientist,Consumer Product Safety Commission,"Bethesda, Maryland",GS,102415,158322,1560,2026-08-25,2026-09-04,https://www.usajobs.gov:443/job/882103100
Data Scientist (Supply Chain),Defense Contract Management Agency,"Phoenix, Arizona",GS,125776,163514,1560,2026-09-02,2026-09-11,https://www.usajobs.gov:443/job/883161100
DATA SCIENTIST,Defense Information Systems Agency,"Fort Meade, Maryland",GG,169279,197200,1560,2026-08-28,2026-09-07,https://www.usajobs.gov:443/job/882399700
DATA SCIENTIST,Defense Information Systems Agency,"Fort Meade, Maryland",GG,150424,197200,1560,2026-09-03,2026-09-11,https://www.usajobs.gov:443/job/883030500
Data Scientist,Environmental Protection Agency,"Washington, District of Columbia",GS,70623,111087,1560,2026-09-01,2026-09-08,https://www.usajobs.gov:443/job/882960000
Data Scientist (Direct Hire),Environmental Protection Agency,"Washington, District of Columbia",GS,70623,111087,1560,2026-09-01,2026-09-08,https://www.usajobs.gov:443/job/882960100
Data Scientist,Federal Energy Regulatory Commission,"Washington, District of Columbia",GS,85447,133142,1560,2026-08-31,2026-09-08,https://www.usajobs.gov:443/job/882847000
Data Scientist,Joint Activities,"Fort Meade, Maryland",GG,121785,166440,1560,2026-08-27,2026-09-03,https://www.usajobs.gov:443/job/882478200
Data Scientist,National Nuclear Security Administration,"Washington, District of Columbia",NQ,149550,194417,1560,2026-08-27,2026-09-03,https://www.usajobs.gov:443/job/882355100
Data Scientist,National Oceanic and Atmospheric Administration,"La Jolla, California",ZP,50460,101097,1560,2026-09-03,2026-09-09,https://www.usajobs.gov:443/job/883284100
Data Scientist,National Oceanic and Atmospheric Administration,"La Jolla, California",ZP,74678,187093,1560,2026-09-03,2026-09-09,https://www.usajobs.gov:443/job/883284900
SUPERVISORY GENERAL ENGINEER/COMPUTER SCIENTIST/DATA SCIENTIST/ INFORMATION TECHNOLOGY SPECIALIST,Naval Air Systems Command,"Patuxent River, Maryland",NM,121785,187093,0801,2026-09-02,2026-09-08,https://www.usajobs.gov:443/job/883068500
LEAD DATA SCIENTIST,Naval Sea Systems Command,"Keyport, Washington",GS,119630,155521,1560,2026-08-27,2026-09-07,https://www.usajobs.gov:443/job/882327600
General Engineer/Scientist (NRAN),Nuclear Regulatory Commission,"Rockville, Maryland",GG,79198,96248,0801,2026-09-01,2026-09-30,https://www.usajobs.gov:443/job/883091800
Data Scientist,Office of Inspector General,"Lakewood, Colorado",GS,108173,158322,1560,2026-08-31,2026-09-14,https://www.usajobs.gov:443/job/882906000
CHIEF DATA SCIENTIST,"Offices, Boards and Divisions","District of Columbia, District of Columbia",SL,151661,228000,1560,2026-08-24,2026-09-08,https://www.usajobs.gov:443/job/881922200
Data Scientist,"Offices, Boards and Divisions","Washington, District of Columbia",GS,143913,187093,1560,2026-08-26,2026-09-08,https://www.usajobs.gov:443/job/882091400
Pathways Recent Graduate Economist/Statistician/Data Scientist,Railroad Retirement Board,"Chicago, Illinois",GS,56409,89703,0110,2026-09-01,2026-09-21,https://www.usajobs.gov:443/job/882930700
